OrigenKey;IdOrigen;Origen;OrigenCiudadNombre;OrigenEstado
185;185;IAG;Niagara Falls; NY
186;186;SFB;Sanford; FL
187;187;PIE;St. Petersburg; FL
188;188;AZA;Phoenix; AZ
189;189;BLI;Bellingham; WA
190;190;GRI;Grand Island; NE
191;191;PVU;Provo; UT
192;192;RFD;Rockford; IL
193;193;STC;St. Cloud; MN
194;194;LCK;Columbus; OH
195;195;SBN;South Bend; IN
196;196;BLV;Belleville; IL
197;197;OGD;Ogden; UT
198;198;OWB;Owensboro; KY
199;199;HGR;Hagerstown; MD
200;200;ELM;Elmira/Corning; NY
201;201;SCK;Stockton; CA
202;202;MRY;Monterey; CA
203;203;PSC;Pasco/Kennewick/Richland; WA
204;204;IDA;Idaho Falls; ID
205;205;BGR;Bangor; ME
206;206;PBG;Plattsburgh; NY
207;207;USA;Concord; NC
208;208;BMI;Bloomington/Normal; IL
209;209;TRI;Bristol/Johnson City/Kingsport; TN
210;210;FWA;Fort Wayne; IN
211;211;HTS;Ashland; WV
212;212;OGS;Ogdensburg; NY
213;213;SWF;Newburgh/Poughkeepsie; NY
214;214;SPI;Springfield; IL
215;215;GFK;Grand Forks; ND
216;216;GPT;Gulfport/Biloxi; MS
217;217;SMX;Santa Maria; CA
218;218;CKB;Clarksburg/Fairmont; WV
219;219;LBE;Latrobe; PA
220;220;CMX;Hancock/Houghton; MI
221;221;EAU;Eau Claire; WI
222;222;LBF;North Platte; NE
223;223;GCC;Gillette; WY
224;224;MBS;Saginaw/Bay City/Midland; MI
225;225;RKS;Rock Springs; WY
226;226;PUB;Pueblo; CO
227;227;LBL;Liberal; KS
228;228;MKG;Muskegon; MI
229;229;PAH;Paducah; KY
230;230;CGI;Cape Girardeau; MO
231;231;UIN;Quincy; IL
232;232;BFF;Scottsbluff; NE
233;233;DVL;Devils Lake; ND
234;234;JMS;Jamestown; ND
235;235;LAR;Laramie; WY
236;236;SGU;St. George; UT
237;237;HYS;Hays; KS
238;238;ASE;Aspen; CO
239;239;HLN;Helena; MT
240;240;SBA;Santa Barbara; CA
241;241;RDM;Bend/Redmond; OR
242;242;ACV;Arcata/Eureka; CA
243;243;BFL;Bakersfield; CA
244;244;SUN;Sun Valley/Hailey/Ketchum; ID
245;245;OTH;North Bend/Coos Bay; OR
246;246;RDD;Redding; CA
247;247;SBP;San Luis Obispo; CA
248;248;MMH;Mammoth Lakes; CA
249;249;STS;Santa Rosa; CA
250;250;COD;Cody; WY
251;251;DAL;Dallas; TX
252;252;AVP;Scranton/Wilkes-Barre; PA
253;253;MDW;Chicago; IL
254;254;ECP;Panama City; FL
255;255;EYW;Key West; FL
256;256;LFT;Lafayette; LA
257;257;FAI;Fairbanks; AK
258;258;ADQ;Kodiak; AK
259;259;BET;Bethel; AK
260;260;BRW;Barrow; AK
261;261;SCC;Deadhorse; AK
262;262;JNU;Juneau; AK
263;263;KTN;Ketchikan; AK
264;264;CDV;Cordova; AK
265;265;YAK;Yakutat; AK
266;266;SIT;Sitka; AK
267;267;PSG;Petersburg; AK
268;268;WRG;Wrangell; AK
269;269;OME;Nome; AK
270;270;OTZ;Kotzebue; AK
271;271;ADK;Adak Island; AK
272;272;PPG;Pago Pago; TT
273;273;MKK;Hoolehua; HI
274;274;LNY;Lanai; HI
275;275;JHM;Kapalua; HI
276;276;CLL;College Station/Bryan; TX
277;277;MLU;Monroe; LA
278;278;LCH;Lake Charles; LA
279;279;TWF;Twin Falls; ID
280;280;DAB;Daytona Beach; FL
281;281;PSE;Ponce; PR
282;282;ACY;Atlantic City; NJ
283;283;PUW;Pullman; WA
284;284;EAT;Wenatchee; WA
285;285;ALW;Walla Walla; WA
286;286;YKM;Yakima; WA
287;287;LWS;Lewiston; ID
288;288;DUT;Unalaska; AK
