CarrierDelay;WeatherDelay;NASDelay
1597.0;7;
1416.0;6;
1597.0;7;
191.0;1;0.00
867.0;4;
299.0;2;
1744.0;7;
719.0;3;
1208.0;5;
191.0;1;0.00
1065.0;5;
746.0;3;
2454.0;10;
224.0;1;46.00
1379.0;6;0.00
854.0;4;
305.0;2;
1197.0;5;
1379.0;6;223.00
334.0;2;
140.0;1;0.00
787.0;4;29.00
2556.0;11;
2556.0;11;
854.0;4;
854.0;4;
2556.0;11;
2615.0;11;
802.0;4;
1709.0;7;
316.0;2;
639.0;3;
2556.0;11;
1609.0;7;0.00
3414.0;11;
550.0;3;6.00
1199.0;5;
1846.0;8;
1290.0;6;
776.0;4;7.00
888.0;4;
2425.0;10;
896.0;4;
775.0;4;
2504.0;11;
1007.0;5;
200.0;1;0.00
1635.0;7;
853.0;4;
1721.0;7;
1744.0;7;
826.0;4;
862.0;4;
1190.0;5;21.00
802.0;4;
1120.0;5;
837.0;4;
733.0;3;
1744.0;7;
1197.0;5;
862.0;4;0.00
1504.0;7;
2486.0;10;4.00
719.0;3;
1222.0;5;
1514.0;7;
1506.0;7;0.00
2398.0;10;
1023.0;5;
1608.0;7;0.00
2454.0;10;
2556.0;11;
1379.0;6;0.00
1005.0;5;
305.0;2;
733.0;3;
2454.0;10;
1703.0;7;
1242.0;5;
1585.0;7;
2133.0;9;
925.0;4;
2556.0;11;
1546.0;7;
316.0;2;
2457.0;10;
2447.0;10;
2139.0;9;0.00
397.0;2;
1911.0;8;3.00
937.0;4;
2454.0;10;0.00
1379.0;6;
2504.0;11;
606.0;3;
1023.0;5;0.00
2306.0;10;
1400.0;6;0.00
1874.0;8;
997.0;4;
925.0;4;
937.0;4;
299.0;2;
1185.0;5;
925.0;4;
692.0;3;
391.0;2;
2405.0;10;
862.0;4;
1400.0;6;
1379.0;6;
349.0;2;
447.0;2;
2398.0;10;
550.0;3;
862.0;4;
1379.0;6;0.00
326.0;2;
1009.0;5;0.00
787.0;4;
862.0;4;2.00
925.0;4;
746.0;3;0.00
2447.0;10;
817.0;4;
372.0;2;
284.0;2;
372.0;2;
1346.0;6;
1085.0;5;
2405.0;10;
862.0;4;
1085.0;5;0.00
406.0;2;1.00
1829.0;8;80.00
862.0;4;
406.0;2;
200.0;1;
1400.0;6;
1597.0;7;
305.0;2;
1068.0;5;
2434.0;10;
533.0;3;0.00
1123.0;5;
1585.0;7;
2565.0;11;17.00
1208.0;5;
2446.0;10;38.00
2218.0;9;
1222.0;5;
140.0;1;0.00
964.0;4;
1190.0;5;
937.0;4;
2486.0;10;
912.0;4;0.00
689.0;3;0.00
1034.0;5;
1075.0;5;
2449.0;10;
451.0;2;
451.0;2;
1846.0;8;
2065.0;9;
2227.0;9;
867.0;4;
937.0;4;
1303.0;6;24.00
854.0;4;0.00
1065.0;5;
787.0;4;
1452.0;6;
719.0;3;0.00
316.0;2;
316.0;2;0.00
854.0;4;
1911.0;8;
642.0;3;
967.0;4;
414.0;2;
305.0;2;0.00
1452.0;6;
1325.0;6;
1222.0;5;0.00
2584.0;11;
817.0;4;73.00
1195.0;5;
2565.0;11;78.00
1744.0;7;
416.0;2;
1167.0;5;
748.0;3;
1167.0;5;
1034.0;5;
1436.0;6;
966.0;4;0.00
966.0;4;0.00
602.0;3;
2288.0;10;
775.0;4;
1005.0;5;
414.0;2;
2072.0;9;
414.0;2;
1416.0;6;0.00
1065.0;5;
966.0;4;
1379.0;6;39.00
1123.0;5;
589.0;3;
888.0;4;
991.0;4;21.00
862.0;4;32.00
2611.0;11;
413.0;2;
2358.0;10;
1504.0;7;0.00
679.0;3;
337.0;2;
862.0;4;
1506.0;7;
337.0;2;
628.0;3;
641.0;3;
836.0;4;
612.0;3;
1846.0;8;
372.0;2;
846.0;4;
977.0;4;
888.0;4;
120.0;1;
472.0;2;
2400.0;10;0.00
1085.0;5;
758.0;4;
2065.0;9;
212.0;1;
1846.0;8;312.00
760.0;4;4.00
746.0;3;0.00
733.0;3;
977.0;4;
867.0;4;
1754.0;8;
991.0;4;
1726.0;7;
1346.0;6;0.00
316.0;2;
937.0;4;
2288.0;10;
802.0;4;
937.0;4;
483.0;2;
2565.0;11;189.00
534.0;3;
758.0;4;
316.0;2;
1005.0;5;
867.0;4;8.00
628.0;3;
888.0;4;
1005.0;5;
909.0;4;
602.0;3;
802.0;4;
1436.0;6;
1846.0;8;
2704.0;11;
550.0;3;
888.0;4;
628.0;3;
1201.0;5;
853.0;4;
1190.0;5;
733.0;3;
1846.0;8;
2454.0;10;
2446.0;10;
679.0;3;
820.0;4;
967.0;4;
719.0;3;
2457.0;10;7.00
2419.0;10;
1491.0;6;
2454.0;10;
2425.0;10;
862.0;4;5.00
1605.0;7;0.00
2565.0;11;
1400.0;6;17.00
2565.0;11;
991.0;4;
1620.0;7;
1739.0;7;
862.0;4;
719.0;3;0.00
1846.0;8;0.00
1024.0;5;
2288.0;10;
1062.0;5;
140.0;1;0.00
305.0;2;0.00
602.0;3;
1546.0;7;42.00
1009.0;5;0.00
1546.0;7;0.00
967.0;4;9.00
862.0;4;0.00
447.0;2;
967.0;4;
1452.0;6;
811.0;4;
1846.0;8;
967.0;4;
679.0;3;
1400.0;6;13.00
2288.0;10;0.00
937.0;4;
802.0;4;
414.0;2;
2419.0;10;
2565.0;11;
1005.0;5;
1440.0;6;
2398.0;10;
819.0;4;0.00
997.0;4;
588.0;3;
349.0;2;
2402.0;10;
2611.0;11;
1379.0;6;
602.0;3;8.00
2227.0;9;
200.0;1;
802.0;4;
1452.0;6;
